,순위,선수명,팀명,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
80,78,정우영,LG,7,0,0,0,3,3,14,0,0,0.163
81,78,원종현,NC,7,1,0,0,1,0,5,0,0,0.304
82,78,이창재,KT,7,1,0,0,2,0,4,0,0,0.318
83,78,전유수,KT,7,1,0,0,2,0,1,0,0,0.318
84,78,양승철,KIA,7,2,0,0,8,1,7,1,0,0.226
85,78,이승현,삼성,7,0,1,1,3,0,10,0,0,0.175
86,78,김이환,한화,7,2,0,2,7,0,6,2,0,0.26899999999999996
87,78,윤대경,한화,7,0,0,1,3,1,8,0,0,0.2
88,78,한승혁,롯데,7,0,0,0,4,0,3,0,0,0.28
89,90,권휘,두산,8,1,0,0,0,2,7,2,0,0.308
90,90,이형범,두산,8,1,0,1,5,0,3,1,0,0.364
91,90,홍건희,두산,8,2,0,1,5,3,8,0,0,0.222
92,90,김진호,NC,8,0,0,4,1,1,0,0,0,0.47100000000000003
93,90,홍성민,NC,8,2,0,0,1,0,5,0,0,0.242
94,90,조병욱,KT,8,1,0,0,4,1,2,0,0,0.615
95,90,이준영,KIA,8,3,0,1,2,0,7,0,0,0.28600000000000003
96,90,오승환,삼성,8,4,0,0,4,0,9,1,0,0.222
97,90,최지광,삼성,8,0,0,2,9,1,10,1,0,0.205
98,90,김종수,한화,8,4,1,1,9,0,10,0,0,0.222
99,90,김대우,롯데,8,1,0,0,1,0,9,0,0,0.28600000000000003
100,101,김재웅,키움,9,1,0,0,7,1,10,1,0,0.188
101,101,백승건,SK,9,2,0,0,8,1,7,0,0,0.265
102,101,이정용,LG,9,1,0,2,7,0,17,0,1,0.22
103,101,이보근,KT,9,1,0,2,3,1,10,1,0,0.205
104,101,남재현,KIA,9,3,1,1,6,1,6,0,0,0.273
105,101,장필준,삼성,9,1,0,1,2,0,6,3,0,0.3
106,101,강재민,한화,9,1,0,1,5,0,12,1,1,0.209
107,101,김진영,한화,9,3,0,1,2,0,8,0,0,0.281
108,101,구승민,롯데,9,4,0,1,4,0,5,0,0,0.281
109,110,김상수,키움,10,1,0,0,4,1,13,1,0,0.222
110,110,윤정현,키움,10,1,0,2,0,1,1,0,0,0.41700000000000004
111,110,이영준,키움,10,1,0,1,2,1,9,1,0,0.27
112,110,김세현,SK,10,0,0,2,7,0,12,0,0,0.256
113,110,김주온,SK,10,1,0,1,4,0,6,2,0,0.28600000000000003
114,110,송은범,LG,10,3,0,1,2,0,11,1,0,0.182
115,110,최성훈,LG,10,0,0,0,1,0,4,1,0,0.35700000000000004
116,110,문경찬,NC,10,2,0,4,3,0,4,0,0,0.27
117,110,배재환,NC,10,0,1,2,4,2,7,1,0,0.28600000000000003
118,110,정해영,KIA,10,0,1,1,8,1,13,4,0,0.25
119,110,우규민,삼성,10,4,0,0,2,0,8,0,0,0.313
120,110,홍정우,삼성,10,1,1,1,3,0,7,1,0,0.28600000000000003
121,122,김태훈,키움,11,1,0,0,4,1,2,1,0,0.36700000000000005
122,122,이태양,SK,11,0,0,0,4,0,10,0,0,0.306
123,122,진해수,LG,11,0,0,0,2,2,10,2,0,0.355
124,122,김재윤,KT,11,0,1,0,4,0,15,0,0,0.23399999999999999
125,122,김기훈,KIA,11,4,0,1,8,0,2,1,0,0.36700000000000005
126,122,장현식,KIA,11,2,0,3,2,0,5,0,0,0.36700000000000005
127,122,전상현,KIA,11,4,1,1,4,0,11,0,0,0.36700000000000005
128,122,김윤수,삼성,11,1,0,0,6,0,6,2,0,0.314
129,122,윤성환,삼성,11,4,1,0,8,3,4,0,0,0.19
130,122,박주홍,한화,11,1,0,4,6,0,5,0,0,0.355
131,122,송윤준,한화,11,5,0,1,4,0,4,0,0,0.40700000000000003
132,122,이인복,롯데,11,0,0,1,2,0,1,0,0,0.44
133,134,이현승,두산,12,2,0,2,5,0,8,1,1,0.324
134,134,조현우,KT,12,3,0,0,3,0,8,1,0,0.25
135,134,김대우,삼성,12,0,0,0,3,1,3,0,0,0.218
136,134,박진형,롯데,12,2,1,0,3,2,9,1,0,0.33299999999999996
137,138,이재학,NC,13,3,0,1,6,0,5,1,0,0.39399999999999996
138,138,김현수,KIA,13,3,3,1,6,0,1,0,0,0.46399999999999997
139,138,김민우,한화,13,4,0,1,17,4,13,2,0,0.2
140,138,안영명,한화,13,1,0,3,5,0,7,0,0,0.433
141,138,정우람,한화,13,2,0,1,4,0,3,0,0,0.361
142,143,요키시,키움,14,3,0,1,5,0,11,0,0,0.215
143,143,조상우,키움,14,1,0,1,2,0,16,0,0,0.255
144,143,최원태,키움,14,1,0,2,7,1,8,0,0,0.24600000000000002
145,143,정찬헌,LG,14,2,0,0,4,1,7,0,0,0.311
146,147,박치국,두산,15,7,0,2,7,1,19,1,0,0.242
147,147,윤명준,두산,15,2,1,0,6,0,4,1,0,0.33299999999999996
148,147,양현,키움,15,5,0,0,4,1,6,0,0,0.313
149,147,조영우,SK,15,2,0,4,3,0,6,2,0,0.3
