,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
753,732,오태곤,SK,유격수,1,1,8,0,0,1,3,0,1.000,0,0,0,-
754,732,유서준,SK,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-
755,732,윤석민,SK,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
756,732,채현우,SK,중견수,1,0,1,0,0,0,0,0,-,0,0,0,-
757,732,채현우,SK,좌익수,1,0,2 2/3,0,0,1,0,0,1.000,0,0,0,-
758,732,최항,SK,1루수,1,0,1,0,0,0,0,0,-,0,0,0,-
759,732,현원회,SK,포수,1,0,2,0,0,3,0,0,1.000,0,0,0,-
760,732,김용의,LG,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
761,732,김호은,LG,중견수,1,0,1,0,0,0,0,0,-,0,0,0,-
762,732,김호은,LG,우익수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
763,732,박지규,LG,2루수,1,0,2,0,0,1,1,0,1.000,0,0,0,-
764,732,백승현,LG,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-
765,732,손호영,LG,2루수,1,0,3,0,0,0,0,0,-,0,0,0,-
766,732,손호영,LG,1루수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
767,732,이재원,LG,중견수,1,0,1,0,0,0,0,0,-,0,0,0,-
768,732,이천웅,LG,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
769,732,장준원,LG,1루수,1,1,7,0,0,7,0,2,1.000,0,0,0,-
770,732,전민수,LG,우익수,1,1,8,1,0,1,0,0,0.500,0,0,0,-
771,732,정근우,LG,1루수,1,0,2,0,0,0,0,0,-,0,0,0,-
772,732,최재원,LG,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
773,732,한석현,LG,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
774,732,한선태,LG,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
775,732,홍창기,LG,1루수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
776,732,도태훈,NC,1루수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
777,732,모창민,NC,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
778,732,이상호,NC,유격수,1,0,2,0,0,0,0,0,-,0,0,0,-
779,732,이원재,NC,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
780,732,임형원,NC,투수,1,0,0,0,0,0,0,0,-,0,0,0,-
781,732,최정원,NC,좌익수,1,1,8,0,0,3,0,0,1.000,0,0,0,-
782,732,김영환,KT,3루수,1,0,3,0,0,0,0,0,-,0,0,0,-
783,732,문상인,KT,포수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
784,732,박세진,KT,투수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
785,732,안현준,KT,투수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
786,732,한승지,KT,투수,1,0,0,0,0,0,1,0,1.000,0,0,0,-
787,732,김승범,KIA,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
788,732,나주환,KIA,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-
789,732,이정훈,KIA,포수,1,0,3,0,0,2,0,0,1.000,0,0,0,-
790,732,이창진,KIA,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
791,732,차명진,KIA,투수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
792,732,최원준,KIA,3루수,1,1,7,0,0,2,0,0,1.000,0,0,0,-
793,732,최정민,KIA,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-
794,732,최정민,KIA,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
795,732,최형우,KIA,좌익수,1,1,8,0,0,2,0,0,1.000,0,0,0,-
796,732,황윤호,KIA,투수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
797,732,황윤호,KIA,유격수,1,0,1,0,0,1,1,1,1.000,0,0,0,-
798,732,김성윤,삼성,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-
799,732,김성윤,삼성,중견수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
800,732,김성윤,삼성,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
801,732,김성표,삼성,좌익수,1,1,7,0,0,0,0,0,-,0,0,0,-
802,732,송준석,삼성,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-
803,732,이성규,삼성,중견수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
804,732,이성규,삼성,2루수,1,0,3,0,0,1,0,0,1.000,0,0,0,-
805,732,최영진,삼성,좌익수,1,1,7,1,0,2,0,0,0.667,0,0,0,-
806,732,황동재,삼성,투수,1,0,1 1/3,0,0,0,0,0,-,0,0,0,-
807,732,강경학,한화,우익수,1,0,2 1/3,0,0,1,0,0,1.000,0,0,0,-
808,732,김지수,한화,우익수,1,1,9,1,0,4,0,0,0.800,0,0,0,-
809,732,노시환,한화,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
810,732,박정현,한화,2루수,1,1,6,0,0,0,4,1,1.000,0,0,0,-
811,732,양성우,한화,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-
812,732,오동욱,한화,투수,1,0,2 2/3,0,0,1,0,0,1.000,0,0,0,-
813,732,임종찬,한화,좌익수,1,0,4 2/3,0,0,1,0,0,1.000,0,0,0,-
814,732,임종찬,한화,중견수,1,0,2 1/3,0,0,0,0,0,-,0,0,0,-
815,732,정기훈,한화,2루수,1,0,4,0,0,1,1,1,1.000,0,0,0,-
816,732,조한민,한화,2루수,1,0,3 1/3,0,0,0,0,0,-,0,0,0,-
817,732,최승준,한화,1루수,1,0,5,0,0,3,0,1,1.000,0,0,0,-
818,732,최인호,한화,1루수,1,1,6,0,0,6,0,0,1.000,0,0,0,-
819,732,최인호,한화,중견수,1,0,1,0,0,0,0,0,-,0,0,0,-
820,732,한승주,한화,투수,1,1,1 2/3,0,0,0,1,0,1.000,0,0,0,-
821,732,김동한,롯데,유격수,1,0,1 2/3,0,0,1,0,0,1.000,0,0,0,-
822,732,김재유,롯데,좌익수,1,1,7,0,0,1,0,0,1.000,0,0,0,-
823,732,배성근,롯데,유격수,1,1,7,0,0,0,2,0,1.000,0,0,0,-
824,732,신용수,롯데,3루수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
825,732,안치홍,롯데,1루수,1,0,6 1/3,0,0,6,0,0,1.000,0,0,0,-
826,732,정태승,롯데,투수,1,0,1 2/3,0,0,0,0,0,-,0,0,0,-
827,732,추재현,롯데,좌익수,1,1,9,0,0,0,0,0,-,0,0,0,-
