"year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","RBI","BB","HP","KK","GD","AVG","PA","SB","CS","SF"
2020,7,62700,"HH",71,21,3,0,0,7,3,0,13,0,0.296,75,1,1,1
2020,7,61186,"LG",51,15,2,0,0,7,8,3,6,0,0.294,63,1,0,1
2020,7,79150,"LG",68,20,3,3,0,9,7,0,8,0,0.294,76,3,3,1
2020,7,62934,"NC",34,10,1,0,2,6,0,1,5,0,0.294,35,5,2,0
2020,7,68525,"LT",68,20,3,0,7,22,7,1,16,4,0.294,79,0,0,3
2020,7,71564,"LT",82,24,6,0,2,13,8,0,9,4,0.293,91,0,0,1
2020,7,64868,"KT",62,18,0,0,0,3,9,1,17,0,0.29,72,4,2,0
2020,7,78548,"KT",59,17,2,0,3,17,8,0,7,1,0.288,69,0,0,2
2020,7,79608,"LT",80,23,4,0,1,6,5,2,8,3,0.288,90,3,0,3
2020,7,78168,"WO",91,26,5,2,1,5,14,0,15,1,0.286,109,5,2,4
2020,7,78217,"LG",14,4,0,0,1,1,0,0,3,0,0.286,15,0,0,1
2020,7,73306,"NC",7,2,1,0,0,2,2,0,0,1,0.286,11,0,0,2
2020,7,62556,"LT",7,2,0,0,1,1,1,0,2,0,0.286,8,0,0,0
2020,7,78813,"NC",39,11,5,0,0,1,0,0,4,1,0.282,39,0,0,0
2020,7,62931,"NC",71,20,4,1,5,17,6,1,10,3,0.282,78,0,0,0
2020,7,69418,"SS",32,9,3,0,0,1,2,1,6,0,0.281,36,0,0,1
2020,7,65586,"WO",68,19,2,1,1,9,6,1,20,2,0.279,75,2,0,0
2020,7,64646,"HT",86,24,2,0,2,8,5,0,15,3,0.279,94,3,1,3
2020,7,78513,"LT",87,24,4,0,4,17,10,2,10,4,0.276,100,1,1,1
2020,7,66108,"LG",69,19,5,1,0,6,18,2,10,3,0.275,89,0,0,0
2020,7,68868,"SK",91,25,2,0,2,9,10,0,14,1,0.275,103,0,1,2
2020,7,61700,"HH",44,12,2,0,1,3,12,0,12,0,0.273,56,0,1,0
2020,7,61204,"LT",11,3,1,0,0,0,1,0,3,0,0.273,12,3,1,0
2020,7,76802,"SK",63,17,0,0,0,2,8,0,7,3,0.27,73,1,1,2
2020,7,50165,"LG",89,24,4,0,6,13,9,2,27,3,0.27,101,0,0,1
2020,7,74163,"HH",89,24,1,0,0,4,12,0,6,2,0.27,102,7,3,1
2020,7,73209,"HT",82,22,1,0,2,12,2,1,21,3,0.268,87,0,0,2
2020,7,78135,"LG",60,16,3,1,3,8,7,3,14,1,0.267,70,0,0,0
2020,7,64266,"SS",60,16,2,0,3,7,6,0,21,0,0.267,69,1,0,3
2020,7,66409,"SS",30,8,0,0,3,8,2,2,9,0,0.267,35,1,0,1
2020,7,61197,"SS",34,9,1,0,0,3,2,0,6,1,0.265,37,1,0,1
