,순위,선수명,팀명,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
177,177,샘슨,롯데,31,4,1,3,4,0,12,2,0,0.365
178,179,브룩스,KIA,32,6,0,1,7,0,20,1,0,0.239
179,180,한현희,키움,33,7,1,2,8,4,21,0,1,0.34
180,181,이영하,두산,34,1,1,2,12,0,16,1,0,0.29600000000000004
181,181,윌슨,LG,34,4,1,3,9,1,23,1,1,0.293
182,183,문승원,SK,35,8,0,5,10,2,23,1,0,0.252
183,183,핀토,SK,35,7,0,3,17,2,10,4,0,0.318
184,185,서폴드,한화,36,8,1,4,6,3,13,4,0,0.293
185,186,요키시,키움,37,4,2,3,3,1,15,0,1,0.303
186,187,양현종,KIA,38,9,1,5,10,1,23,1,0,0.38
187,188,유희관,두산,40,9,0,4,7,1,11,0,0,0.345
188,189,데스파이네,KT,43,7,1,3,10,2,34,2,0,0.28300000000000003
189,190,켈리,LG,44,7,0,3,6,2,33,1,0,0.301
